note,current_folder,proposed_folder,confidence,reason
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Catchup Leandro Customer Booking Confirmation.md,JP Obsidian Vault,Customers,0.53,keywords=customer
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Day 1 DP World 02.09.2024.md,JP Obsidian Vault,DPWorld,0.65,keywords=dp
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Document Layout (& sooraj handover).md,JP Obsidian Vault,Meetings,0.65,keywords=workshop
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Document Layout - Holger JP.md,JP Obsidian Vault,Customers,0.53,keywords=customer
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Document.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Duisburg.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Ewl integrat.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/FF 100 and related projects (Catchup) 9.09..md,JP Obsidian Vault,Meetings,0.65,keywords=meeting
"JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/FLT Meeting, 14th of October.md",JP Obsidian Vault,Meetings,0.73,"keywords=agenda,meeting"
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Floris -- Month End Closing.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Floris Van Drunen.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Followup Risk -  Resilience.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Go.md,JP Obsidian Vault,DPWorld,0.89,"keywords=cargo,dp,dpworld,logistics"
"JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Good Day Reinier,.md",JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/ISO/ISO Job Description.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/IT handover rezso.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Ics2.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Ideas for TODOXLS.md,JP Obsidian Vault,Projects,0.73,"keywords=delivery,plan"
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Intro AF with Jeannett.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Intro tender.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Introduction OCD Operations Control Dashboard.md,JP Obsidian Vault,Projects,0.65,keywords=milestone
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Introduction markus rodatz.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Introduction to GSC MDM Team.md,JP Obsidian Vault,DPWorld,0.81,"keywords=cargo,dpworld,logistics"
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Jakub Bozig (QHSE) Freight Europe.md,JP Obsidian Vault,Customers,0.53,keywords=customer
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Kapil Steve Signature.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Kath Legal FF100 Update.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Kister meeting duisburg.md,JP Obsidian Vault,Meetings,0.65,keywords=meeting
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/La City Civils.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Lifting UP presentation paycargo.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/MDM - NPM.md,JP Obsidian Vault,Customers,0.53,keywords=customer
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Manish - Data Lake - how to interact with.md,JP Obsidian Vault,DPWorld,0.65,keywords=dp
"JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Marco (PS vs Handling, loss and profit).md",JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/McKinsey Duisburg Cluster Reorg Meeting.md,JP Obsidian Vault,Meetings,0.65,keywords=meeting
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Mindit holger.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Mohit - analytics.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/New Note.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Nikil - GSC - Performance.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Notes.md,JP Obsidian Vault,Meetings,0.73,"keywords=meeting,minutes"
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/OCD → watwagh.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/OPS Weekly.md,JP Obsidian Vault,Customers,0.53,keywords=account
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/One remaining business decision intracompany to other entities division.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Open topics rezso.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/OpsX pCC 07.01.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/PM-.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/PMI Thoughts.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Pallets.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Pay Cargo (notes).md,JP Obsidian Vault,DPWorld,0.99,"keywords=cargo,dp,port,terminal"
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Pcc 26.11.24.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Pcc catchup.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Peocess clarification prep call 16.09.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Perf.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Pmo introduction.md,JP Obsidian Vault,Reference,0.47,fallback-reference
"JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Prep. Meeting,.md",JP Obsidian Vault,Meetings,0.65,keywords=meeting
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Process Clarification 12th of November.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Process Clarification Call (Prep Intro).md,JP Obsidian Vault,Meetings,0.65,keywords=agenda
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Process Excellence Call 1 10 24.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Process excellence call 15.10.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Profit Sharing Intro.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Rail Intro.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Rezso Call - tansfer to todos.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Rob Meeting.md,JP Obsidian Vault,Meetings,0.65,keywords=meeting
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Stuart - Procurement.md,JP Obsidian Vault,DPWorld,0.73,"keywords=dp,dpworld"
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Tech Team Introduction.md,JP Obsidian Vault,DPWorld,0.65,keywords=cargo
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/TiaB - CR2 Introduction.md,JP Obsidian Vault,Customers,0.53,keywords=customer
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Unique it dd.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/WISOR Sowmyaa Ramadurai (IT Security).md,JP Obsidian Vault,AI,0.53,keywords=ai
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/Wisor --  Instruction.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/iLean Introduction (Freight Fowarding).md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/log.do. in.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Excellence Topics/sïtatun.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Here are the list of topics to be discussed in the meeting tomorrow….md,JP Obsidian Vault,Meetings,0.65,keywords=meeting
JP Obsidian Vault/Apple Notes/DP World/Innovation Topics/AI Vendors Handover Rezso.md,JP Obsidian Vault,AI,0.65,keywords=ai
JP Obsidian Vault/Apple Notes/DP World/Innovation Topics/Business Continuity (Will - Atif).md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Innovation Topics/DoricTec.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Innovation Topics/Ideas for OCD.md,JP Obsidian Vault,DPWorld,0.65,keywords=dp
JP Obsidian Vault/Apple Notes/DP World/Innovation Topics/Mind.it leif.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Innovation Topics/Minit workshop 2409.md,JP Obsidian Vault,Meetings,0.65,keywords=workshop
"JP Obsidian Vault/Apple Notes/DP World/Innovation Topics/Paycargo Minutes (Intro, 17.09).md",JP Obsidian Vault,Customers,0.53,keywords=account
JP Obsidian Vault/Apple Notes/DP World/Innovation Topics/Prep CAll.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Innovation Topics/Wili Follett Business Continuity.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Innovation Topics/Winsor AI.md,JP Obsidian Vault,AI,0.65,keywords=ai
JP Obsidian Vault/Apple Notes/DP World/Innovation Topics/Wisor - Kick Off - Next Steps.md,JP Obsidian Vault,DPWorld,0.73,"keywords=dp,port"
JP Obsidian Vault/Apple Notes/DP World/Innovation Topics/Wisor with Nick.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/DP World/Innovation Topics/Zero Down - First Meeting.md,JP Obsidian Vault,Meetings,0.65,keywords=meeting
JP Obsidian Vault/Apple Notes/DP World/Intro Stefanie Böhm (Treuhand).md,JP Obsidian Vault,Projects,0.65,keywords=plan
JP Obsidian Vault/Apple Notes/DP World Interview.md,JP Obsidian Vault,Personal,0.53,keywords=family
JP Obsidian Vault/Apple Notes/DP World Logistics Germany B.V. & Co. KG.md,JP Obsidian Vault,DPWorld,0.99,"keywords=dp,dpworld,logistics"
JP Obsidian Vault/Apple Notes/DXB - Mom Preferred Part'.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Day 1 logineer ham 14 07 25.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Db april.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Deal Making Cook Book.md,JP Obsidian Vault,Ideas,0.73,"keywords=concept,idea"
JP Obsidian Vault/Apple Notes/Deal workshop 1 - 17.05.md,JP Obsidian Vault,Meetings,0.65,keywords=workshop
JP Obsidian Vault/Apple Notes/Dear Markus.md,JP Obsidian Vault,Reference,0.47,fallback-reference
"JP Obsidian Vault/Apple Notes/Dear Mr. Mag. Krauter,.md",JP Obsidian Vault,DPWorld,0.73,"keywords=cargo,logistics"
"JP Obsidian Vault/Apple Notes/Dear Sender,.md",JP Obsidian Vault,Reference,0.53,keywords=manual
JP Obsidian Vault/Apple Notes/Denise Agile __ Nicole Opphiger ( DA-AD).md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Dewlap.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Digital Board Reporting.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Dimitri.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Discount units to pay for project.md,JP Obsidian Vault,Projects,0.65,keywords=project
JP Obsidian Vault/Apple Notes/Document Layout Miriam Fathima.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Dog breads.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Dp world global freight gmbh.md,JP Obsidian Vault,DPWorld,0.65,keywords=dp
JP Obsidian Vault/Apple Notes/Draft Antwort an Herr Krauter.md,JP Obsidian Vault,Projects,0.61,"keywords=plan,project"
JP Obsidian Vault/Apple Notes/Dreamlist if Flexa goes to the moon.md,JP Obsidian Vault,HiFi,0.65,keywords=amplifier
JP Obsidian Vault/Apple Notes/Dummy vendor.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/EWL Connect - vs CR2 question - Renier.md,JP Obsidian Vault,Meetings,0.65,keywords=workshop
JP Obsidian Vault/Apple Notes/Eauction.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Edge how to differentiate.md,JP Obsidian Vault,AI,0.65,keywords=agent
JP Obsidian Vault/Apple Notes/Einkaufen.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Einkaufsliste.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Emberger (DB Schenker).md,JP Obsidian Vault,DPWorld,0.65,keywords=cargo
JP Obsidian Vault/Apple Notes/Emdr.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Emea mgt 08.06.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Ewl day 2 - man 21-22.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Ewl march.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Ewl sreerco connects.md,JP Obsidian Vault,AI,0.61,"keywords=agent,model"
JP Obsidian Vault/Apple Notes/Ewl week 2.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Examin Interview.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Execution Excellence (Today 27.02).md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Explore NGOs.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Explore reeducation.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Ext Board (7.06).md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Exte.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/FLT.md,JP Obsidian Vault,Customers,0.65,keywords=customer
JP Obsidian Vault/Apple Notes/FRachtkosten Monitor - KiK Gute Cuhhaltung Ablage PODF.md,JP Obsidian Vault,DPWorld,0.65,keywords=dpworld
"JP Obsidian Vault/Apple Notes/Fellow FLT,.md",JP Obsidian Vault,Meetings,0.53,keywords=workshop
JP Obsidian Vault/Apple Notes/Ferien Liste.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Ferien ives list.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Ffw eur budget meeting 2025 (2026 cycle).md,JP Obsidian Vault,Meetings,0.65,keywords=meeting
JP Obsidian Vault/Apple Notes/Final Assessment Zoom - Note.md,JP Obsidian Vault,Customers,0.73,"keywords=customer,stakeholder"
JP Obsidian Vault/Apple Notes/Finance Floris (Urgent payments and CR2 Tickets).md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Finance Meeting Conventry OK 26. - 28.05. 2029.md,JP Obsidian Vault,Meetings,0.65,keywords=meeting
JP Obsidian Vault/Apple Notes/Flex AMP.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Flexa History of Failure by Anouncement and Outcome.md,JP Obsidian Vault,Projects,0.99,"keywords=launch,plan,roadmap"
JP Obsidian Vault/Apple Notes/Flow fox.md,JP Obsidian Vault,Ideas,0.53,keywords=concept
JP Obsidian Vault/Apple Notes/Flt nov 25.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/For Anna. Letter Ideas.md,JP Obsidian Vault,Customers,0.53,keywords=stakeholder
JP Obsidian Vault/Apple Notes/For Rezso.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Forum UBS.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Four kites.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Fragen CV.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Fragen EE & Anders.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Fragen.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Franfurt UBS first talk 10.08.2023.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Freight Gate.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Freightyfy.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Ftl feb 2025.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/GRohe implementation call 31 03 2025.md,JP Obsidian Vault,Meetings,0.61,"keywords=meeting,minutes"
JP Obsidian Vault/Apple Notes/GSC Agenda and Topics.md,JP Obsidian Vault,Projects,0.53,keywords=launch
JP Obsidian Vault/Apple Notes/Garden Plants where to plant them.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Garten Haus.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Gartner call 3.3.21.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/General booking instructions.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Georgina 11 25.04.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Gespräch Hr. Pfarrer Raphael.md,JP Obsidian Vault,Ideas,0.53,keywords=concept
JP Obsidian Vault/Apple Notes/Giga Meeting.md,JP Obsidian Vault,Meetings,0.65,keywords=meeting
JP Obsidian Vault/Apple Notes/Giga.md,JP Obsidian Vault,AI,0.65,keywords=agent
JP Obsidian Vault/Apple Notes/Global downhill recording.md,JP Obsidian Vault,DPWorld,0.99,"keywords=cargo,dp,logistics,port"
JP Obsidian Vault/Apple Notes/Goal.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Gopal and AES update.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Gptw.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Gumann 605.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/HR/Interviews/Natalia Janzen.md,JP Obsidian Vault,Projects,0.73,"keywords=plan,project"
JP Obsidian Vault/Apple Notes/HR/③ Christoph.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/HR Austritt Raphael.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/HR CE - Lavinia.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/HR Call - Licensing Overviews March 2025.md,JP Obsidian Vault,Meetings,0.85,"keywords=agenda,meeting"
JP Obsidian Vault/Apple Notes/HR.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/HSEQ.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Harballzüste-Aterom.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Harmonise CS and UBS.md,JP Obsidian Vault,Customers,0.53,keywords=client
JP Obsidian Vault/Apple Notes/Health Checks and Deep Dives - Summaries.md,JP Obsidian Vault,Meetings,0.93,"keywords=agenda,meeting,minutes"
JP Obsidian Vault/Apple Notes/Heilerde ultrafein.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Helpdesk CCM.NET Account Details - Orientation Guide.md,JP Obsidian Vault,Customers,0.53,keywords=account
JP Obsidian Vault/Apple Notes/Helveticor 24.05.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Here’s the revised outline with the recommendation to fully transition….md,JP Obsidian Vault,Projects,0.65,keywords=plan
JP Obsidian Vault/Apple Notes/Herport Assessment.md,JP Obsidian Vault,Customers,0.93,"keywords=client,crm,customer"
JP Obsidian Vault/Apple Notes/Herport april.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Hey Robert.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Hilfestellung.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Hold all.md,JP Obsidian Vault,Reference,0.47,fallback-reference
"JP Obsidian Vault/Apple Notes/Hotel booking confirmations - TLT meeting Jul 21-23, 2015 - Baar.md",JP Obsidian Vault,Meetings,0.53,keywords=meeting
JP Obsidian Vault/Apple Notes/Houston.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/How to get to results swot scorecards.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Hsseq culture day.md,JP Obsidian Vault,Customers,0.65,keywords=customer
JP Obsidian Vault/Apple Notes/IMPlementation Meeting December 2025.md,JP Obsidian Vault,Customers,0.73,"keywords=account,customer"
JP Obsidian Vault/Apple Notes/IOT and OT Training.md,JP Obsidian Vault,Reference,0.47,fallback-reference
"JP Obsidian Vault/Apple Notes/Ich bin nicht traurig dass er von uns gegangen ist, sondern ich bin….md",JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Ideas DP.md,JP Obsidian Vault,Customers,0.61,"keywords=account,customer"
JP Obsidian Vault/Apple Notes/Impuls Beratung -.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Influence by no authority.md,JP Obsidian Vault,Customers,0.53,keywords=account
JP Obsidian Vault/Apple Notes/Input JG.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Interview 2 case study damir.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Interview Adecco - Syngenta.md,JP Obsidian Vault,Projects,0.73,"keywords=plan,project"
JP Obsidian Vault/Apple Notes/Interview Dirk Dijkhuizen.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Interview Lavinia.md,JP Obsidian Vault,Meetings,0.53,keywords=meeting
JP Obsidian Vault/Apple Notes/Interview Martina.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Interview ProVeg.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Interview Reto Brägger.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Interview alain bitaim.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Interview joel costeniheira.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Interview marcel schlandt.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Intro Basak.md,JP Obsidian Vault,DPWorld,0.65,keywords=dp
JP Obsidian Vault/Apple Notes/Intro PAD Panko - Brian.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Intro..md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Introduction Claudia Elvers.md,JP Obsidian Vault,Meetings,0.73,"keywords=agenda,workshop"
JP Obsidian Vault/Apple Notes/Irvine 15.07.2015 RMG session.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Iso imp call fri 4.04.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Iso what needed march 2025.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Iss meeting cs 2709.md,JP Obsidian Vault,Meetings,0.65,keywords=meeting
JP Obsidian Vault/Apple Notes/It Asset owner.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Iulia BUK 26.04.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Ivan Interview.md,JP Obsidian Vault,Personal,0.65,keywords=personal
JP Obsidian Vault/Apple Notes/JP.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Jaempilang@gmail.com.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Jay - Santosh.md,JP Obsidian Vault,Reference,0.53,keywords=reference
JP Obsidian Vault/Apple Notes/Jbjgubhvhjfuhvrughfruztrhghughurztuztzkascopsdjndjvftbfhvbjvbjbhfgbhfbgbjbdsvbdudxcbfhbfdvbvbbvdhvbh….md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Jds iso.md,JP Obsidian Vault,Reference,0.47,fallback-reference
JP Obsidian Vault/Apple Notes/Jobs I applied to.md,JP Obsidian Vault,DPWorld,0.81,"keywords=cargo,logistics,shipping"
